Filename,Genotype,Time_to_recovery,Temperature
video_182626.mpg,Genotype1,73.01,20
video_182626.mpg,Genotype1,83.79,20
video_182626.mpg,Genotype1,84.48,20
video_182626.mpg,Genotype1,85.28,20
video_182626.mpg,Genotype1,88.86,20
video_182626.mpg,Genotype1,90.21,20
video_182626.mpg,Genotype1,90.61,20
video_182626.mpg,Genotype1,92.25,20
video_182626.mpg,Genotype3,122.36,20
video_182626.mpg,Genotype3,123.22,20
video_182626.mpg,Genotype3,62.35,20
video_182626.mpg,Genotype3,67.76,20
video_182626.mpg,Genotype3,82.01,20
video_182626.mpg,Genotype3,87.6,20
video_182626.mpg,Genotype3,92.19,20
video_182626.mpg,Genotype3,98.53,20
video_182626.mpg,Genotype3,107.82,20
video_182626.mpg,Genotype3,110.3,20
video_182626.mpg,Genotype3,56.6,20
video_182626.mpg,Genotype3,78.59,20
video_182626.mpg,Genotype3,79.71,20
video_182626.mpg,Genotype3,88.79,20
video_182626.mpg,Genotype3,90.96,20
video_182626.mpg,Genotype3,92.74,20
video_182626.mpg,Genotype3,102,20
video_182626.mpg,Genotype3,125.32,20
video_182626.mpg,Genotype3,126.43,20
video_184100.mpg,Genotype1,54.22,20
video_184100.mpg,Genotype1,75.89,20
video_184100.mpg,Genotype1,90.43,20
video_184100.mpg,Genotype1,93.27,20
video_184100.mpg,Genotype1,93.46,20
video_184100.mpg,Genotype1,94.85,20
video_184100.mpg,Genotype1,95.01,20
video_184100.mpg,Genotype1,97.3,20
video_184100.mpg,Genotype1,120.02,20
video_184100.mpg,Genotype1,123.64,20
video_144729.mpg,Genotype1,134.16,20
video_144729.mpg,Genotype1,150.04,20
video_144729.mpg,Genotype1,159.64,20
video_144729.mpg,Genotype1,163.37,20
video_144729.mpg,Genotype1,167.16,20
video_144729.mpg,Genotype1,175.55,20
video_144729.mpg,Genotype1,176.44,20
video_144729.mpg,Genotype1,203.02,20
video_144729.mpg,Genotype1,216.88,20
video_144729.mpg,Genotype1,226.74,20
video_144729.mpg,Genotype2,151.22,20
video_144729.mpg,Genotype2,151.39,20
video_144729.mpg,Genotype2,155.23,20
video_144729.mpg,Genotype2,170.16,20
video_144729.mpg,Genotype2,168.28,20
video_144729.mpg,Genotype2,165.78,20
